LEMMA	POS	SAGEDUS	TASE
kaugus	S	64452	A2
kaugusel	K	58298	B1
kaunis	A	96435	A2
kaunistama	V	29696	B1
kaup	S	176771	A2
kauplema	V	20557	A2
kauplus	S	79817	A1
kauss	S	22457	A1
kava	S	146193	A2
kavandama	V	67777	A2
kavatsema	V	133503	B1
keedetud	A		B1
keeduvorst	S	965	B1
keefir	S	4639	A1
keegi	P	1016118	A1
keel	S	638885	A1
keelama	V	138756	A2
keelatud	A		B1
keeld	S	25193	B1
keelduma	V	73806	B1
keeleoskus	S	9744	B1
keelpill	S	1666	B1
keelumärk	S	1669	B1
keema	V	28252	B1
keemia	S	21812	B1
keemiline	A	29783	B1
keep	S	3135	B1
keerama	V	123022	A2
keeruline	A	153243	A2
keetma	V	38653	A2
keha	S	216260	A2
kehaline	A	30966	B1
kehaosa	S	7905	B1
kehtima	V	174933	B1
kehtiv	A	82525	B1
kehv	A	58651	B1
kelder	S	28373	A2
kell	S	776911	A1
kelner	S	5418	B1
kena	A	99035	A2
kenasti	D	68591	B1
kera	S	7557	A2
kerge	A	143333	A1
kergejõustik	S	11639	B1
kergelt	D	66811	B1
kergesti	D	44702	B1
kes	P	4219504	A1
keset	K	50001	B1
keskaegne	A	16011	A2
keskealine	A	11664	B1
keskel	D	7667	B1
keskel	K	76364	A2
keskele	D		B1
keskele	K	15891	A2
keskelt	K		B1
keskenduma	V	111634	B1
keskharidus	S	8872	A2
keskkond	S	165284	B1
keskkool	S	46907	A2
keskküte	S	3442	B1
kesklinn	S	79273	A2
keskmine	A	264385	A1
keskmiselt	D	73505	A2
keskpäev	S	14816	B1
keskus	S	186398	A2
kesköö	S	7585	B1
kestma	V	178122	A2
ketšup	S	2088	A1
kevad	S	177234	A1
kevadine	A	29375	A2
kevadkuu	S	555	A2
kevadpüha	S	1201	B1
kibe	A	9862	B1
kihla vedama	V		B1
kihlatud	D		B1
kiirabi	S	32505	A2
kiirabiauto	S	3276	B1
kiire	A	210402	A2
kiirelt	D	75682	A2
kiirendama	V	27679	B1
kiiresti	D	232592	A1
kiirrong	S	2567	B1
kiirtee	S	10225	B1
kiirus	S	129608	B1
kiirustama	V	31723	B1
kiitma	V	133125	A2
kiitus	S	19224	B1
kilekott	S	18600	B1
kilo	S	50254	A1
kilogramm	S	12626	B1
kilomeeter	S	130008	A1
kilone	A	2889	B1
kilpkonn	S	5581	B1
kindel	A	407801	A1
kindlalt	D	71509	B1
kindlasti	D	647186	A1
kindlustama	V	67101	B1
kindlustus	S	26391	B1
kindral	S	24516	B1
king	S	35892	A1
kingitus	S	67863	A2
kinkima	V	61831	A2
kinnas	S	21673	B1
kinni	D	357757	A1
kinni hoidma	V		B1
kinni keerama	V		B1
kinni maksma	V		B1
kinni panema	V		B1
kinni pidama	V		B1
kinni püüdma	V		B1
kinni võtma	V		B1
kinnine	A	25480	B1
kinnisvara	S	69156	A2
kinnitama	V	432206	B1
kinnitamine	S	35617	B1
kinnitus	S	107027	B1
kino	S	51717	A1
kiri	S	361830	A1
kirik	S	293781	A1
kirjalik	A	48053	B1
kirjandus	S	81941	A2
kirjanik	S	83384	A2
kirjastus	S	32890	A2
kirjavahetus	S	10901	B1
kirjeldama	V	158621	A2
kirju	A	17393	A2
kirjutama	V	946945	A1
kirjutuslaud	S	3303	A2
kirp	S	4470	B1
kirre	S	8164	B1
kirsipuu	S	2085	A2
kirss	S	9270	A2
kirves	S	12325	B1
kitarr	S	20322	A1
kits	S	17131	A2
kitsas	A	52897	A1
kivi	S	109595	A1
klaas	S	71008	A1
klass	S	252434	A1
klassijuhataja	S	10921	B1
klassika	S	15263	A2
klassikaaslane	S	7415	B1
klassikaline	A	63346	A2
klassiruum	S	7194	B1
klassivend	S	5460	B1
klassiõde	S	4835	B1
klaver	S	20061	A2
klaviatuur	S	11106	A2
kleepima	V	14010	B1
kleit	S	39997	A1
klient	S	313161	A1
kliima	S	40004	B1
klubi	S	168396	A2
kodakondsus	S	46633	A2
kodanik	S	185637	B1
kodu	S	670150	A1
kodulind	S	1848	B1
kodulinn	S	12391	B1
koduloom	S	8805	B1
kodumaa	S	63673	A2
kodumaine	A	33459	B1
kodumasin	S	4719	B1
kodune	A	78451	A2
kodunt	D	6314	B1
kodutu	A	9154	B1
kodutu	S	7162	B1
koer	S	321035	A1
kogema	V	96063	B1
kogemata	D	25743	B1
kogemus	S	329194	B1
kogenud	A		B1
kogu	P		A1
kogu	S	36995	A2
kogudus	S	136313	B1
kogukond	S	61800	B1
koguma	V	206290	A2
kogumine	S	44631	B1
kogunema	V	98354	B1
koguni	D	76954	B1
kogus	S	129701	B1
kohal	D	38543	A1
kohal	K	64458	A1
kohale	D	105778	A2
kohale	K	41239	A2
kohalik	A	481349	A2
kohalik	S		B1
kohalt	K	14156	B1
kohanema	V	19531	B1
kohapeal	D	72199	B1
kohaselt	K	236397	B1
kohati	D	81313	B1
kohe	D	574756	A1
koht	S	1136349	A1
kohta	K	1126816	A2
kohtama	V	78610	B1
kohtuma	V	164882	A1
kohtumine	S	225407	A2
kohtunik	S	90500	B1
kohtuotsus	S	28907	B1
kohupiim	S	9933	A2
kohus	S	268005	A2
kohustus	S	212341	A2
kohustuslik	A	74380	B1
kohutav	A	32668	B1
kohv	S	66285	A1
kohver	S	17116	B1
kohvik	S	56416	A1
kohvikann	S	572	B1
kohvikoor	S	1194	B1
kohvimasin	S	2838	A2
kohvipaus	S	3909	B1
kokk	S	26692	A2
kokku	D	949214	A1
kokku hoidma	V		B1
kokku langema	V		B1
kokku leppima	V		B1
kokku pakkima	V		B1
kokku puutuma	V		B1
kokku saama	V		B1
kokku sobima	V		B1
kokku tulema	V		B1
kokku viima	V		B1
kokku võtma	V		B1
kokkulepe	S	154564	B1
kokkuvõte	S	119428	B1
kole	A	32848	B1
kolima	V	81004	A2
kolju	S	3218	B1
kollane	A	65568	A1
kolleeg	S	185710	A2
kolm	N	786321	A1
kolmandaks	D	4183	A2
kolmandik	N	57388	A2
kolmandik	S	5315	A2
kolmapäev	S	93993	A1
kolmas	O	401789	A1
kolmekesi	D	6895	B1
kolmekordne	A	8758	B1
kolmekorruseline	A	2482	B1
kolmekümnes	O	3553	A2
kolmeteistkümnes	O	1397	A2
kolmetoaline	A	2400	B1
kolmkümmend	N	16844	A1
kolmnurkne	A	3125	B1
kolmsada	N	4624	A1
kolmteist	N	4539	A1
kolmveerand	N	3799	A2
kolmveerand	S	6004	B1
komandeering	S	3373	B1
komisjon	S	335979	A2
komitee	S	34408	A2
komm	S	21414	A2
komme	S	105468	B1
kommentaar	S	192195	A2
kommenteerima	V	125106	A2
kommipood	S	592	A2
kompanii	S	13927	A2
kompromiss	S	26200	A2
komöödia	S	14104	B1
kondiiter	S	2096	B1
konflikt	S	64797	A2
kongress	S	29703	A2
konjak	S	6168	B1
konkreetne	A	182003	A2
konkurents	S	72163	A2
konkurss	S	136151	A2
konn	S	13382	A1
konserv	S	5823	B1
kontakt	S	88456	A2
kontekst	S	60590	A2
konto	S	50930	B1
kontor	S	55726	A2
kontorimööbel	S	514	B1
kontroll	S	159029	A2
kontrollima	V	190110	A2
konts	S	7273	B1
kontserdisaal	S	9960	B1
kontsert	S	126218	A1
konverents	S	107661	A2
kook	S	45024	A2
kool	S	654962	A1
kooliaeg	S	7125	B1
koolidirektor	S	3435	B1
kooliharidus	S	3696	B1
koolihoone	S	4290	B1
koolikaaslane	S	3269	B1
koolilaps	S	13578	B1
koolimaja	S	26286	A2
koolitus	S	170730	A2
koolivaheaeg	S	9013	B1
koolivend	S	2513	B1
kooliõde	S	1550	B1
koondama	V	49822	B1
koopia	S	31282	A2
koor	S	62346	A2
koos	D	219035	A1
koos	K	673116	A1
koosnema	V	99791	B1
koosolek	S	89368	B1
koosseis	S	113861	B1
koostama	V	160096	B1
koostöö	S	353408	A2
kops	S	14777	B1
kopsupõletik	S	4728	B1
koputama	V	12593	B1
kord	D	115260	A1
kord	S	1413540	A1
korda minema	V		B1
kordama	V	66425	A2
korduvalt	D	71618	B1
koridor	S	26978	A1
koristama	V	35780	A1
korjama	V	62487	A2
kork	S	11035	B1
korraga	D	116930	B1
korraks	D	50696	B1
korral	K	357575	B1
korraldama	V	350288	B1
korralik	A	174730	A2
korralikult	D	102967	B1
korrektne	A	29399	B1
korruptsioon	S	25527	A2
korrus	S	96165	A1
korrutama	V	12381	B1
korsten	S	13650	B1
korter	S	210243	A1
kortermaja	S	17538	B1
korv	S	25396	B1
korvpall	S	24561	A1
kosmeetik	S	3598	B1
kostüüm	S	19473	A2
kotkas	S	8836	B1
kotlet	S	4209	B1
kott	S	90395	A1
kraad	S	90274	A2
kraadima	V	614	B1
kraan	S	9480	A2
kraanikauss	S	5480	B1
kraanivesi	S	4161	B1
krediitkaart	S	13857	B1
kreeklane	S	12279	B1
kreem	S	30850	B1
krevett	S	5192	B1
kriis	S	70567	A2
kriitik	S	21867	A2
kriitika	S	43365	A2
kriitiline	A	43338	A2
kringel	S	3331	B1
kristlane	S	43204	B1
kristlik	A	45182	A2
kritiseerima	V	31671	A2
krokodill	S	5132	B1
kroon	S	671604	B1
krooniline	A	26008	B1
krunt	S	54162	B1
kruus	S	13907	A1
kruvi	S	8048	B1
kruvikeeraja	S	2074	B1
kuduma	V	20351	B1
kuhu	D	306798	A1
kuhugi	D	71744	B1
kui	D	9918297	A1
kui	J	1536	A1
kuid	J	2157696	A1
kuidas	D	1309811	A1
kuigi	J		A2
kuiv	A	64224	A2
kuivama	V	38658	B1
kuivatama	V	32080	B1
kuivõrd	D	49158	B1
kuju	S	155681	B1
kujundama	V	77957	B1
kujundus	S	28404	B1
kujunema	V	157519	B1
kujutama	V	175098	B1
kukal	S	9606	B1
kukk	S	10557	A1
kukkuma	V	160428	A2
kukkumine	S	24676	B1
kuld	S	55568	B1
kuldne	A	37565	A2
kuldnokk	S	1990	B1
kulmud	S		B1
kulp	S	3040	B1
kultuur	S	182341	A1
kultuurikeskus	S	19463	A2
kultuuritegelane	S	5224	B1
kulu	S	109564	A2
kulul	K	9859	B1
kuluma	V	155860	B1
kulutama	V	85681	B1
kulutus	S	67529	B1
kumb	P	37484	B1
kumbki	P	59308	B1
kumm	S	21301	B1
kummaline	A	62601	B1
kummik	S	7082	A2
kuna	J	1033349	B1
kunagi	D	469798	A2
kunagine	A	54294	B1
kuni	J	188008	A2
kuni	K	624134	A1
kuninganna	S	19551	B1
kuningas	S	87042	A2
kunst	S	113966	A2
kunstimuuseum	S	16298	A2
kunstnik	S	98279	A2
kurat	S	41260	B1
kurb	A	74963	A2
kurbus	S	14077	B1
kurg	S	6469	B1
kurguvalu	S	1914	B1
kuri	A	40041	A2
kuritegevus	S	25014	B1
kuritegu	S	78930	B1
kurjategija	S	36485	B1
kurk	S	34918	A1
kursis olema	V		B1
kurss	S	73296	A2
kurssi viima	V		B1
kursus	S	101759	A2
kurtma	V	48718	B1
kurv	S	18790	B1
kus	D	1737491	A1
kusagil	D	79470	B1
kusagile	D	15811	B1
kusagilt	D	29991	B1
kuskil	D	127768	B1
kust	D	202689	A1
kustutama	V	55316	B1
kustutuskumm	S	466	B1
kutse	S	57600	B1
kutseharidus	S	11350	B1
kutsekool	S	13328	B1
kutsikas	S	41407	B1
kutsuma	V	377855	A2
kuu	S	629111	A1
kuuekümnes	O	4249	A2
kuues	O	42348	A1
kuueteistkümnes	O	719	A2
kuukaart	S	1650	B1
kuul	S	19347	B1
kuulaja	S	33765	B1
kuulama	V	209769	A1
kuulamine	S	19565	A2
kuulma	V	347444	A1
kuulmine	S	9186	B1
kuulsus	S	29828	B1
kuuluma	V	432719	A2
kuulus	A	62083	A2
kuulutama	V	132175	A2
kuulutus	S	63848	A2
kuum	A	74584	A2
kuupmeeter	S	7101	B1
kuupäev	S	70812	B1
kuus	N	203734	A1
kuusepuu	S	1898	B1
kuusk	S	37708	A2
kuuskümmend	N	4785	A1
kuussada	N	1314	A1
kuusteist	N	3554	A1
kvaliteet	S	160482	A2
kvaliteetne	A	61167	A2
kvartal	S	90804	A2
kviitung	S	3000	B1
käbi	S	5700	B1
käekott	S	7438	B1
käelaba	S	1337	B1
käeluu	S	1059	A2
käes	K	60253	B1
käesolev	A	231433	B1
käest	K	74987	B1
kägu	S	3516	B1
käibemaks	S	45377	B1
käik	S	95612	A2
käima	V	1187941	A1
käituma	V	98560	A2
käitumine	S	122332	A2
kämping	S	4778	B1
kärbes	S	10267	B1
käsi	S	735628	A1
käsitöö	S	28989	B1
käsk	S	56304	A1
käskima	V	31594	B1
käskkiri	S	13528	B1
käterätik	S	1926	A2
käterätt	S	1897	A2
kätte	K	84334	B1
kätte maksma	V		B1
kätte saama	V		B1
kättesaadav	A	64262	B1
käärid	S	7367	B1
kõhn	A	7138	A2
kõht	S	89977	A1
kõhuvalu	S	5709	A2
kõige	D	1077537	A1
kõigepealt	D	116191	A2
kõik	P	3311935	A1
kõikjal	D	40689	B1
kõikvõimalik	A	39399	B1
kõlama	V	106772	B1
kõlbama	V	27119	B1
kõlblik	A	2949	B1
kõlbmatu	A	4357	B1
kõndima	V	71386	A2
kõne	S	125170	A2
kõnelema	V	73094	A2
kõnelus	S	16634	B1
kõnnitee	S	16415	B1
kõrge	A	229416	A2
kõrgel	D	16171	B1
kõrgele	D	18215	B1
kõrgelt	D	24226	B1
kõrgharidus	S	40628	A2
kõrgkool	S	37201	A2
kõrgune	A	18134	B1
kõrgus	S	91999	A2
kõrv	S	75912	A1
kõrvaarst	S	554	A2
kõrval	D	14153	A1
kõrval	K	183530	A1
kõrvale	D	91875	A1
kõrvale	K	52004	A2
kõrvale jätma	V		B1
kõrvale jääma	V		B1
kõrvalt	D	14547	B1
kõrvalt	K	29987	B1
kõrvavalu	S	700	A2
kõrvits	S	10112	B1
kõrvuti	D	20601	B1
kõva	A	82159	A2
kõvasti	D	82797	A2
köha	S	12182	B1
köögikapp	S	1722	B1
köögivili	S	29675	B1
köök	S	80026	A1
kübar	S	7885	A2
kühvel	S	1281	B1
küla	S	222450	A2
külaline	S	119712	A2
külaskäik	S	11879	B1
külastaja	S	63360	A2
külastama	V	133684	A2
külg	S	154193	A2
külge	D	26535	B1
külge	K	62516	B1
küljes	K	25338	B1
küljest	K	13581	B1
küll	D	1246453	A1
küllalt	D	47408	B1
küllaltki	D	42263	B1
külm	A	126509	A1
külm	S	49737	B1
külmik	S	12359	A2
külmkapp	S	23077	A2
külmutatud	A		B1
kümme	N	283746	A1
kümmekond	N	31802	B1
kümnendik	N	8001	A2
kümnes	O	17004	A1
küngas	S	10971	B1
küpsema	V	15529	B1
küpsetama	V	30053	B1
küpsis	S	22280	A2
küsima	V	546621	A1
küsimus	S	979594	A1
küsitlus	S	49135	A2
küte	S	20919	A2
kütma	V	24087	A2
kütus	S	64135	A2
küünal	S	33861	B1
küünarnukk	S	6559	B1
küüs	S	24894	B1
küüslauk	S	19217	A2
laad	S	59588	B1
laadija	S	6567	B1
laadima	V	54272	B1
labidas	S	7576	B1
ladu	S	30419	B1
laen	S	137828	A2
laenama	V	34686	B1
laenuleping	S	7111	B1
laenutama	V	7930	B1
laenutus	S	3380	B1
laev	S	153767	A1
lagi	S	20013	A1
lahe	A	61085	B1
lahendama	V	150616	B1
lahendamine	S	86003	B1
lahendus	S	293872	A2
lahing	S	50278	B1
lahja	A	13006	B1
lahke	A	17532	B1
lahku	D	21211	B1
lahku minema	V		B1
lahkuma	V	188286	A2
lahkumine	S	55225	A2
laht	S	58618	A2
lahti	D	274982	A1
lahti keerama	V		B1
lahti laskma	V		B1
lahti saama	V		B1
lahti tegema	V		B1
lahtine	A	50542	B1
lahus	D	12166	B1
lahustama	V	4731	B1
lahutama	V	36726	A2
lahutatud	D		A2
lai	A	101260	A1
laiali	D	60332	B1
laiali ajama	V		B1
laiali minema	V		B1
laiali saatma	V		B1
laialt	D	20257	B1
laiendama	V	51213	B1
laienema	V	38687	B1
laine	S	51215	B1
laip	S	18617	B1
laisk	A	15860	B1
laiune	A	6973	B1
laius	S	25704	B1
lakkama	V	12374	B1
lamama	V	16269	B1
lammas	S	38166	B1
lamp	S	33744	A2
langema	V	229731	A2
langetama	V	54295	B1
langus	S	64448	B1
laps	S	1667488	A1
lapsehoidja	S	7609	B1
lapselaps	S	21888	A1
lapselik	A	2286	B1
lapsepõlv	S	45609	A2
lapsevanem	S	75142	A2
las	D	51473	A2
laskma	V	511041	B1
lasteaed	S	115033	A2
lastearst	S	4635	A2
lastekirjandus	S	6813	B1
lastekodu	S	17732	A2
lastetuba	S	5430	B1
laud	S	165020	A1
laul	S	162869	A1
laulja	S	51922	A2
lauljanna	S	4034	B1
laulma	V	105020	A1
laulmine	S	14133	B1
laulukoor	S	3221	B1
laulupidu	S	21515	B1
laup	S	4743	B1
laupäev	S	146393	A1
lausa	D	180487	B1
lause	S	92631	A2
laut	S	15277	B1
lava	S	97046	A2
lavastaja	S	38255	B1
lavastama	V	23137	B1
lavastus	S	54659	B1
leedu	G	4971	A2
leedulane	S	11809	B1
legend	S	30310	A2
lehekülg	S	74411	A2
lehm	S	37207	A1
leht	S	242486	A1
leib	S	64414	A1
leidma	V	1503205	A1
leiduma	V	120896	B1
lektor	S	14794	B1
lemmik	S	79157	A2
lemmikloom	S	18553	B1
lend	S	70530	B1
lendama	V	122766	A1
lennujaam	S	63171	A2
lennuk	S	109534	A1
lennupilet	S	11698	B1
lennuväli	S	21568	A2
lepatriinu	S	3970	B1
leping	S	320608	A2
lepp	S	6121	B1
leppima	V	146716	A2
lesk	S	9594	B1
lett	S	20895	B1
levima	V	115998	B1
libe	A	17515	B1
libisema	V	19742	B1
liblikas	S	14051	B1
lift	S	12803	A2
ligi	D	155790	B1
ligi	K	123919	A2
ligi tõmbama	V		B1
ligikaudu	D	53345	A2
liha	S	91453	A1
lihapall	S	1601	B1
lihas	S	41368	B1
lihavõtted	S	1830	B1
lihtne	A	303794	A1
lihtsalt	D	794717	A1
liider	S	79959	B1
liiga	D	431477	A1
liiga	S	38918	A2
liiga tegema	V		B1
liige	S	626510	A2
liiges	S	14207	B1
liigne	A	53006	B1
liigutama	V	41904	B1
liigutus	S	31304	B1
liik	S	120076	A2
liiklus	S	60826	B1
liiklusmärk	S	7113	B1
liikuma	V	324366	A1
liikumine	S	163136	A2
liilia	S	3509	B1
liim	S	13364	B1
liimima	V	5981	B1
liin	S	81008	A2
liising	S	9626	A2
liit	S	245317	A2
liiter	S	47156	A1
liitma	V	35215	A2
liitrine	S	5199	B1
liituma	V	71361	B1
liiv	S	41387	B1
lill	S	58119	A1
lilla	A	8323	A2
lilleline	A	3344	B1
lillkapsas	S	3578	B1
limiit	S	6502	B1
lina	S	14600	A1
lind	S	100097	A1
linn	S	704430	A1
linnaosa	S	58246	A2
linnapea	S	85232	B1
linnavalitsus	S	135275	A2
lipp	S	66604	A2
lips	S	9273	A2
lisa	S	860314	A2
lisama	V	636990	A2
liuväli	S	2115	B1
loe	S	10759	B1
loeng	S	62261	B1
lohutama	V	14802	B1
lokk	S	5494	B1
lokkis	D	1126	B1
loll	A	46745	B1
loll	S	33577	A2
loobuma	V	145022	B1
loodetavasti	D	59340	B1
loodus	S	187662	A1
looduskaitseala	S	10676	B1
loogiline	A	54183	A2
loojuma	V	3427	B1
loom	S	249055	A1
looma	V	602051	B1
loomaaed	S	24476	A2
loomaarst	S	11688	B1
loomaliha	S	2584	B1
looming	S	67178	B1
loominguline	A	27014	B1
loomulik	A	85119	B1
loomulikult	D	233158	B1
loosung	S	16801	A2
lootma	V	363656	A2
lootus	S	123096	B1
lootusetu	A	16188	B1
loss	S	42302	A2
loterii	S	6689	A2
luba	S	104556	A2
lubadus	S	54159	A2
lubama	V	502175	A1
lugeja	S	122111	A2
lugema	V	781342	A1
lugu	S	304830	A1
lugu pidama	V		B1
lugupeetud	A	92643	A2
luik	S	8019	B1
lukk	S	28997	A1
lukku	D	6985	A2
lumehelves	S	2374	B1
lumemees	S	374	B1
lumi	S	118440	A1
lusikas	S	11385	A1
luteri	G	4669	A2
luterlane	S	3785	B1
lutikas	S	1551	B1
luu	S	29424	A2
luuletaja	S	20582	B1
luuletus	S	38411	B1
läbi	D	689479	A1
läbi	K	340696	A1
läbi astuma	V		B1
läbi elama	V		B1
läbi kukkuma	V		B1
läbi käima	V		B1
läbi lugema	V		A2
läbi otsima	V		B1
läbi rääkima	V		B1
läbi saama	V		B1
läbi vaatama	V		B1
läbi viima	V		B1
läbimõõt	S	24361	B1
läbipaistev	A	22377	B1
läbirääkimised	S		B1
lähedal	D	41426	B1
lähedal	K	74367	A2
lähedale	D	13466	B1
lähedalt	D	13424	B1
lähedane	A	44041	B1
lähedane	S	30346	B1
lähedus	S	63164	B1
lähemal	D	14999	B1
lähemale	D	33620	B1
lähenema	V	56982	B1
lähenemine	S	59627	B1
läikima	V	5444	B1
läti	G	11914	A2
lätlane	S	31373	A2
lääs	S	69098	A2
lõbus	A	51190	A2
lõhkuma	V	43127	B1
lõhn	S	64587	A2
lõhnama	V	11192	B1
lõhnaõli	S	1505	B1
lõikama	V	107975	A2
lõikus	S	11375	B1
lõoke	S	1198	B1
lõpetaja	S	17313	B1
lõpetama	V	366779	A1
lõplik	A	58303	B1
lõplikult	D	34495	B1
lõpp	S	601953	A1
lõppema	V	184037	A1
lõpueksam	S	3995	B1
lõpuks	D	315220	A2
lõpule viima	V		B1
lõug	S	12904	B1
lõuna	S	84548	A1
lõunasöök	S	13404	B1
lõunavaheaeg	S	828	B1
lõvi	S	10735	A2
lörts	S	8087	B1
löök	S	40955	B1
lööma	V	203679	A2
lühiajaline	A	21841	B1
lühidalt	D	37871	B1
lühike	A	123792	A1
lükkama	V	135993	B1
lülitama	V	58903	B1
ma	P		A1
maa	S	717330	A1
maa-ala	S	19468	A2
maailm	S	771044	A1
maailmameister	S	25876	B1
maailmasõda	S	57203	B1
maakond	S	138537	A2
maal	S	29918	A2
maalima	V	24114	B1
maamaja	S	3013	B1
maanduma	V	24095	B1
maantee	S	101907	A2
maas	D	28328	B1
maasikas	S	23171	A2
maastik	S	46260	B1
madal	A	133273	A2
madrats	S	11182	B1
madrus	S	3313	A2
madu	S	22223	B1
magama	V	171432	A1
magamistuba	S	25683	A2
magu	S	4924	B1
magus	A	50506	A2
magustoit	S	12851	A2
maha	D	456681	A2
maha jätma	V		B1
maha jääma	V		B1
maha kirjutama	V		B1
mahe	A	13702	B1
mahl	S	32132	A1
mahlane	A	7657	B1
mahtuma	V	89286	B1
mai	S	121016	A1
maikelluke	S	777	B1
maine	A	13978	B1
maine	S	40911	B1
mainima	V	160330	B1
maitse	S	109446	B1
maitseaine	S	11968	B1
maitsema	V	2723	B1
maitseroheline	S	2416	B1
maitsetu	A	2777	B1
maitsev	A	39578	A2
maitsma	V	47878	B1
maja	S	479840	A1
majandus	S	216518	A2
majanduslik	A	97168	B1
majanduslikult	D	24521	B1
majonees	S	5209	A1
makaron	S	7563	A2
maks	S	167917	B1
makse	S	30134	A2
maksekorraldus	S	3333	B1
maksimaalne	A	42080	B1
maksja	S	5107	B1
maksma	V	684642	A1
mandariin	S	4138	A1
maniküür	S	2332	B1
manna	S	2200	B1
manner	S	908	B1
mantel	S	10790	A2
mardipäev	S	1618	B1
margariin	S	3198	B1
mari	S	84834	A2
marjapõõsas	S	1886	B1
mark	S	40371	B1
marker	S	4313	B1
marsruut	S	17802	B1
masin	S	136523	A1
mask	S	22983	A2
mass	S	55725	A2
massaaž	S	14571	B1
matemaatika	S	35114	A2
materiaalne	A	27079	B1
materjal	S	220252	A2
matk	S	30576	B1
matkama	V	9558	B1
matma	V	26172	B1
matus	S	15482	B1
me	P		A1
medal	S	41570	B1
meditsiin	S	34750	B1
medõde	S	1952	B1
meel	S	402413	A1
meelde jääma	V		B1
meelde tulema	V		B1
meeldima	V	418394	A1
meeldiv	A	81190	A1
meeldivalt	D	12225	B1
meelelahutus	S	24529	B1
meeleldi	D	8132	B1
meeleolu	S	39048	A2
meeles pidama	V		B1
meelest	K	127980	B1
meelsasti	D	10820	B1
meenuma	V	52668	B1
meenutama	V	172197	B1
mees	S	1236265	A1
meeskond	S	246895	A2
meeskoor	S	6112	B1
meeter	S	178904	A1
meetod	S	106809	A2
meetrine	A	7048	B1
mehhanism	S	27082	B1
meie	P		A1
meil	S	17198	A2
meilima	V	847	A2
meister	S	79011	A2
menüü	S	46604	B1
meremees	S	12635	A2
meri	S	144676	A1
mesi	S	35454	A2
mesilane	S	25944	B1
metall	S	36535	A2
mets	S	228999	A1
metslane	S	2002	B1
metslind	S	365	B1
metsloom	S	10853	B1
miinus	S	43475	A2
mikrolaineahi	S	3898	B1
miks	D	691903	A1
miljard	N	147267	A1
miljon	N	606457	A1
millal	D	136129	A1
millegipärast	D	37337	B1
milleks	D	40083	A2
millimeeter	S	6922	B1
milline	P	574114	A1
mina	P	12703826	A1
mina	S	210816	B1
minek	S	73661	A2
minema	V	2241378	A1
mineraalvesi	S	3939	B1
minevik	S	62315	A2
mingi	P	1192569	B1
mingisugune	P	74464	B1
minia	S	2044	B1
ministeerium	S	94242	A2
minister	S	175887	A2
minut	S	331736	A1
mis	P	9411677	A1
miski	P	1526675	A1
mispärast	D	5411	B1
missugune	P	49756	A1
mitmeaastane	A	6824	B1
mitmes	P	12330	A2
mitmus	S	3253	B1
mitte	D	1717045	A1
mitu	P	897888	A1
mobiil	S	21101	A2
mobiilinumber	S	1122	A1
mobiiltelefon	S	34928	A2
moment	S	38676	A2
mood	S	130953	A2
moodi	K	42909	B1
moodne	A	40367	B1
moodustama	V	216700	B1
moos	S	13522	A2
mootor	S	143668	A2
mootorratas	S	18108	A1
morss	S	1559	A2
muda	S	13447	B1
mudane	A	3958	B1
mudel	S	118848	A2
mugav	A	78777	A1
mugavalt	D	20178	B1
mugavus	S	27303	B1
muidu	D	240427	B1
muidugi	D	483343	A1
mujal	D	104374	B1
mujale	D	27996	B1
mujalt	D	27644	B1
muld	S	52982	B1
mulje	S	120642	B1
mullune	A	29160	B1
multifilm	S	4658	B1
multikas	A	5632	B1
muna	S	78229	A1
murdma	V	58370	B1
mure	S	196996	A2
murelik	A	14676	B1
muretsema	V	78409	A2
muretu	A	6103	B1
muru	S	28454	B1
must	A	192577	A1
muster	S	39864	B1
mustikas	S	10457	B1
mustsõstar	S	2030	B1
muu	P	879933	A2
muudatus	S	173197	B1
muukeelne	A	3955	B1
muuseas	D	26853	B1
muuseum	S	113935	A2
muusik	S	48285	A2
muusika	S	214024	A1
muusikakool	S	18735	B1
muusikal	S	13943	B1
muutlik	A	7209	B1
muutma	V	554168	A2
muutuma	V	552772	A2
muutus	S	157244	A2
mägi	S	101908	A1
mälestus	S	69189	B1
mälestusmärk	S	15321	B1
mäletama	V	161865	A2
mälu	S	55743	A2
mänd	S	17090	B1
mäng	S	477523	A1
mängija	S	130005	A2
mängima	V	456426	A1
mänguasi	S	30167	A2
mänguväljak	S	12932	A2
märg	A	40501	A2
märgatavalt	D	26276	B1
märk	S	163449	A2
märkama	V	162428	A2
märkima	V	308509	B1
märkimisväärne	A	42933	B1
märkus	S	41837	B1
märts	S	251183	A1
määrama	V	281583	B1
määrav	A	18668	B1
määrdunud	A		B1
määrima	V	31667	B1
mõis	S	91031	A2
mõiste	S	120299	B1
mõistlik	A	110668	A2
mõistma	V	304995	B1
mõistmine	S	37878	B1
mõistus	S	74062	A2
mõju	S	213555	A2
mõjuma	V	126973	A2
mõjutama	V	192050	A2
mõlemad	P		A2
mõni	P	1454830	A2
mõnikord	D	89499	A2
mõnus	A	137391	B1
mõrv	S	21221	B1
mõte	S	690710	A1
mõtisklema	V	17590	B1
mõtlema	V	652698	A1
mõtlemine	S	59121	B1
mõttetu	A	50790	B1
mõõdukas	A	22291	B1
mõõtma	V	80375	A2
mööbel	S	35906	A1
