word	freq_rank	proficiency	pos
peaaegu	438	A2	adv
panna	440		s
üksi	442	B1	adv
iganes	443	B2	adv
issand	447	B2	s,interj
saama	449	A1	v
veidi	451	A2	adv
eile	452	A1	adv
lugu	454	A1	s
lähe	455		s
võimalus	456	A2	s
lõpuks	459	A2	adv
tehtud	464		adj
võibolla	465		adv
laps	469	A1	s
heaks	470	B1	postp
vait	471	B1	adv
proua	472	A1	s
sealt	473	A1	adv
viimane	474	A1	adj,s
vabandage	476		interj
vend	477	A1	s
probleem	480	A2	s
inimene	482	A1	s
sees	483	A1	adv,postp
hommikul	484		adv
mõte	487	A1	s
täis	490	A2	adj,adv
käes	492	B1	adv,postp
ringi	495	B1	adv,postp
jama	497	B2	s,adj
kapten	501	B1	s
sõna	503	A1	s
varsti	504	A1	adv
kõigest	508	B2	adv
tänu	511	A2	s
hetk	512	A1	s
niimoodi	517	B1	adv
umbes	521	A2	adv
mõlemad	523	A1	pron
järgmine	524	A1	adj
halb	526	A1	adj,s
pisut	527	A2	adv
otse	528	A2	adv
neetud	529		adj
mööda	532	A2	postp,prep,adv,adj
üsna	534	B1	adv
lahe	537	B1	adj
tähtis	539	A2	adj
mõni	540	A2	pron
hull	541	B1	s,adj
armas	542	A2	adj,s
pidi	548	B1	postp
neli	549	A1	num,s
persse	551		interj
päeval	553		adv
politsei	555	A1	s
otsa	556	B1	adv,postp
too	557	B2	pron
kadunud	563		adj
ütlema	565	A1	v
linna	569		
õnnelik	572	A2	adj,s
halloo	574	A1	interj
saate	575		
dr	580		
nimel	582	B1	postp
kohal	583	A1	postp,adv
õde	587	A1	s
nõus	588		adv
kutt	590	B2	s
maa	592	A1	s
lihtne	594	A1	adj
laske	596		
käest	597	B1	adv,postp
kohale	598	A1	postp,adv
hetkel	601		adv
paremini	602	A2	adv
kuigi	603	B1	adv,konj
jooksul	605	A1	postp
kahe	607		
ühte	609	B2	adv
niisiis	610	B1	adv
vale	619	A1	s,adj
teel	624	A1	vrm
miski	629	A2	pron
tubli	631	A1	adj
muidu	633	B1	adv
käsi	636	A1	s
ikkagi	637	A2	adv
istu	638		adv
siiski	639	A2	adv
ok	644		interj
tõeline	645	B1	adj
valesti	646	A2	adv
küsimus	647	A1	s
naljakas	648	A2	adj
iial	649		adv
ükskõik	650	A2	adv
loomulikult	657	B1	adv
nemad	662	A1	pron
rahu	663	A2	s
väärt	664	B1	adj
preili	665	B1	s
seotud	668		adj
vahele	670	B1	adv,postp
jumala	671		adv
mõttes	672		postp
vaatama	673	A1	v
kuus	677	A1	num,s
pihta	679	B1	adv,postp
doktor	682	A2	s
võtma	686	A1	v
uut	687		
teadma	688	A1	v
relv	689	B1	s
püha	694	B1	adj,s
luba	696	A2	s
pere	697	A1	s
süü	699	B1	s
semu	701	B2	s
tütar	703	A1	s
uks	707	A1	s
nägu	711	A1	s
perse	713		s
ometi	714	B1	adv
milleks	719	A2	adv
plaan	721	A1	s
moodi	723	B1	postp,adv
kuidagi	724	B2	adv
mitu	725	A1	pron
number	730	A1	s
tulema	738	A1	v
jaa	739	A1	adv
lõbus	740	A2	adj
lähedal	742	A2	adv,postp,prep
kuu	746	A1	s
hoopis	750	B1	adv
öö	752	A1	s
paha	753	A2	adj,s
ruttu	758	A2	adv
pealt	759	A2	adv,postp,prep
abikaasa	760	A1	s
tähelepanu	764	A2	s
uskumatu	768	B1	adj
hilja	773	A1	adv
magama	774	A1	v
kombes	775		adv
appi	777	A1	adv,interj
president	778	A2	s
püsti	781	B1	adv
näiteks	782	A2	adv
üleval	783	B1	adv
issi	784		s
onu	785	A1	s
kuhugi	786		adv
kooli	787		
vaba	793	A1	adj
nägemist	794	A1	interj
toon	797	B1	s
ameerika	799		
tüüp	801	B1	s
kolme	802		
mr	803		
meeldiv	804	A1	adj
maailm	805	A1	s
rahule	809		adv
korra	810		adv
õhtu	814	A1	s
vanemad	815	A1	s
vähem	816	A1	adv
pikk	817	A1	adj,s
arvates	818		postp,prep
alt	819	A1	adv,postp
oi	822		interj
tavaliselt	823	A2	adv
ülejäänud	824	B2	adj
arust	825	B2	postp
poja	829		s
asemel	831	B1	adv,postp
kolonel	833	B2	s
agent	834		s
suhtes	835	B1	adv,postp
süüdi	836	B1	adv
pani	837		s
pealegi	838	B2	adv
meel	842	B1	s
huvitav	843	A1	adj
haige	844	A2	adj,s
seepärast	845	B1	adv
igatahes	848	B2	adv
tom	849		prop
kiire	851	A2	adj,s
pähe	853		adv
lõpp	857	A1	s
lahku	858	B1	adv
kodu	859	A1	s
koha	860	B1	s
käi	861		s
jeesus	862		interj
pagan	865	B2	s
imelik	871	A2	adj
kuningas	872	A2	s
noor	873	A1	adj,s
pr	877		
vahet	878		postp
endiselt	880	B1	adv
ohtlik	881	B1	adj
keha	882	A2	s
päriselt	883	B2	adv
suu	884	A1	s
loll	886	B1	adj,s
leidma	889	A1	v
frank	893		s
aus	894	A2	adj
idee	895	A1	s
mõnikord	896	A2	adv
öösel	897	A2	adv
s	899		s
kiiremini	901	A2	adv
isand	903	B2	s
arvatavasti	904	B1	adv
pidu	908	A1	s
värk	911	B2	s
kõrvale	915	A1	adv,postp
kuradima	916		adjg,adv
tõde	919	B1	s
kohutav	920	B1	adj
nägema	923	A1	v
hüvasti	924	B1	interj
ammu	926	A2	adv
suurt	927		adv
last	929		s
paari	932		adv
taas	933	B1	adv
otsima	934	A1	v
viin	935	A2	s
oo	936		interj
kindral	937	B1	s
kahjuks	938	A2	adv,postp
tundma	941	A1	v
raisk	942		s
au	945	B1	s
järel	947	A2	postp,adv
emme	948		s
sõda	951	A2	s
kõrval	954	A1	adv,postp,prep
põhjus	956	A2	s
kõvasti	958	B1	adv
puhas	959	A1	adj
ainuke	961	B1	adj,s
boss	964	B2	s
tõtt	967		s
äri	968	A2	s
kõne	969	A2	s
ettevaatlik	972	A2	adj
jätke	974		s
tegu	975	B1	s
koer	977	A1	s,adj
d	979		s
