word	freq_rank	proficiency	pos
muusa	23129		s
niiöelda	23130	B2	adv
druiid	23136		s
kangelaslik	23137		adj
kaissu	23142		adv,postp
kääbik	23143		s
ruutu	23148		s
kaitseriiv	23150		s
lõhkepea	23160		s
pärandus	23164	B2	s
tegevdirektor	23165		s
meeleheide	23174	B2	s
ranne	23178	B1	s
hambahari	23185	A2	s
demonstratsioon	23189	B2	s
auahne	23190	B2	adj
suumulk	23201		s
läbikukkunud	23210		adj
sent	23211	A1	s
sünnis	23216		adj
poksi	23217		prop
ähmane	23224	B2	adj
tennessee	23234		prop
külaskäik	23235	B1	s
massiivne	23247	B2	adj
keelduma	23249	B1	v
külmem	23250		adj
silmus	23253	B2	s
sihtkoht	23254	B1	s
emm	23274		s
arenema	23276	B1	v
keskpunkt	23278		s
praktikant	23279	B2	s
kurv	23282	B1	s
mõneti	23286	B2	adv
puutuma	23290	B1	v
evakueerima	23291	B2	v
salarelv	23295		s
meeldejääv	23297		adj
sõltuvalt	23298	B1	adv
kohtuistung	23299		s
kompu	23301		s,adj
otsemaid	23302		adv
ettur	23306		s
peapiiskop	23311		s
pargivaht	23312		s
diplomaat	23319	B1	s
ekslikult	23330	B2	adv
tagasitee	23337		s
brenner	23346		prop
kellavärk	23348		s
sulepea	23352		s
brändi	23354	B2	s
vahtima	23363	B2	v
rüppe	23365		postp
hämar	23370	B1	adj,s
külmkapp	23373	A2	s
kuub	23376	B2	s
rebase	23386		prop
seapekk	23395		s
helilooja	23396	B1	s
saag	23399	B1	s
primitiivne	23400	B2	adj
jogurt	23402	A1	s
puudulik	23409	B2	adj,s
kakao	23418	A1	s
leidus	23421		s
kõndimine	23424		s
üksikasjalikult	23432	B2	adv
tõugu	23434		prop
teadaolev	23436	B2	adj
laulatus	23437	B2	s
jälgija	23444		s
erak	23448		s
sultan	23453		s
lahkamine	23461		s
liialdus	23464	B2	s
majaomanik	23465		s
loopima	23470	B2	v
meeskonnatöö	23480		s
tasuja	23485		s
joonistama	23490	A2	v
sihtpunkt	23498		s
radikaalne	23499	B2	adj
vader	23506		s
jonnakas	23515	C1	adj
kaarik	23518		s
kulgu	23520		prop
talisman	23523		s
nimetus	23525	B1	s
tikke	23526		
raevukas	23532		adj
töödejuhataja	23536		s
tel	23544		
vastumeelne	23553	B2	adj
ungari	23557		adjg
ehitaja	23560	A2	s
sarv	23564	B1	s
hermes	23566		prop
murettekitav	23569		adj
sireen	23571		s
esineja	23575	B1	s
päikesevalgus	23578		s
tootmine	23580		s
taimer	23592		s
võimla	23593	B2	s
asjakohane	23598	B2	adj
eitamine	23603		s
ninakas	23606		adj
küüslauk	23613	A2	s
cv	23615		
rühmitus	23616	B2	s
muhk	23622	B2	s
jäätee	23627		s
pahandus	23630	B1	s
õpetus	23631	B1	s
äi	23633	B1	s
testima	23634	B1	v
seesmiselt	23641		adv
kustkohast	23647		adv
madrats	23648	B1	s
illegaalselt	23649		adv
kose	23652		prop
läikiv	23661	B2	adj
klambrid	23663		s
kanderaam	23668		s
säru	23677		s
luuletaja	23688	B1	s
auh	23690		interj
segaselt	23691		adv
ärevus	23699	B1	s
raudne	23705	B1	adj
varemalt	23706		adv
mullivann	23707	B1	s
koiott	23709		s
konsultant	23717	B1	s
eesõigus	23719	B2	s
šokk	23722	B1	s
viisa	23723	A2	s
käsiraamat	23725	B2	s
kiskuma	23726	B2	v
laiemalt	23728		adv
jäine	23736	B2	adj
vagun	23739	A2	s
ateena	23742		prop
kramp	23743	B2	s
silmapilk	23753		s
nähtu	23754	C1	s
puusa	23755		adv
üks-kaks	23758		adv
närvivapustus	23762		s
mh	23765		interj
eliit	23769	B2	s
treppi	23772		adv
lollikindel	23777		adj
kartell	23778		s
tolmune	23780	B1	adj
tahtlik	23802	B2	adj
piripill	23812		s
sõnnik	23820	B2	s
kannu	23822		prop
drink	23827		s
staap	23828	B2	s
veenvalt	23833	B2	adv
põgusalt	23840	C1	adv
kaldu	23844		adv
soodne	23852	B1	adj
asteroid	23855	B2	s
musketär	23856		s
nisu	23862	B1	s
avameelselt	23864		adv
taotlus	23868	B1	s
iga-aastane	23876		adj
teenus	23882	B1	s
täpsus	23883	B1	s
küüsis	23884	C1	postp
kraesse	23886		adv,postp
kirjandus	23889	A2	s
maa-alune	23894	B2	adj
prooviesinemine	23898		s
füüsik	23909	B2	s
kelvin	23919		s
kiir	23923	B2	s
kerjus	23929	B2	s
videokaamera	23930	A2	s
imbetsill	23931		s
rahutused	23934		s
väimees	23940	B1	s
teejuht	23941		s
bug	23942		prop
mürakas	23948		adj,s
kaust	23949	B2	s
õpipoiss	23959		s
orion	23964		prop
beibe	23965		s
hj	23966		
ahhaa	23970		interj
teler	23978	A2	s
tsiviilisik	23983		s
eeldama	23987	B1	v
väljaõpe	23988	B1	s
varrukas	23991	B2	s
atakk	24007		s
lambert	24008		s
musa	24010		s
tootma	24016	B1	v
visioon	24017	B2	s
meloodia	24018	B1	s
gi	24020		
peletis	24028		s
vietnam	24030		prop
keeld	24038	B1	s
näitaja	24040		s
kuulutus	24045	A2	s
anonüümselt	24046		adv
remont	24047	A2	s
luukere	24051	B1	s
kuuletuma	24053	B2	v
jj	24056		
üleminek	24057	B2	s
pedofiil	24064	B2	s
iiveldus	24065	B2	s
trummar	24071		s
kalda	24073		
korralagedus	24086	B2	s
koristamine	24087		s
puuvili	24099	A2	s
neljandaks	24103		adv
putka	24104		s
hambapasta	24115	A2	s
kerry	24128		prop
teesklemine	24134		s
seksikalt	24139		adv
apteek	24149	B1	s
pisar	24154	B1	s
ummik	24155	B1	s
enneaegselt	24156		adv
talunik	24160	B1	s
lohutus	24161	B2	s
rutiinne	24164	B2	adj
poeetiline	24176	B2	adj
heategija	24181		s
söötma	24185	B1	v
kaader	24186		s
purjetama	24194	B2	v
ebausklik	24197		adj
teiesugune	24200		adj,s
maalima	24209	B1	v
andmebaas	24210	B2	s
täistabamus	24212		s
illinois	24214		prop
sobivam	24228		adj
teguviis	24231	B2	s
ne	24236		
seitsmene	24240	B2	adj
minimaalselt	24243		adv
värvima	24244	A2	v
pagariäri	24251		s
tulemusel	24255		vrm
live	24257		s
eesriie	24262		s
peapõrutus	24263		s
lutsifer	24270		prop
senjoriita	24273		s
põngerjas	24283		s
sõjalaev	24285		s
sülg	24293	B2	s
mustlane	24294	B2	s
tuuline	24297	B1	adj
ööpäev	24300	A1	s
richmond	24306		prop
töökas	24310	B1	adj
ühinemine	24314		s
sulu	24315		prop
napp	24319	B1	adj
paarike	24326		s
immuunsus	24328	B2	s
pommipanija	24334		s
lamama	24335	B1	v
maiuspala	24336	B2	s
sisemus	24339	B2	s
ebausk	24351		s
rahumeelne	24352	B2	adj
armumine	24356		s
lennuväli	24357	A2	s
jaole	24360		adv
punni	24363		adv
seevastu	24364	B2	adv
eestkostja	24365	C1	s
põssa	24368		s
lapsemäng	24369		s
perversne	24370		adj
lööklaine	24386		s
dildo	24387		s
hape	24390	B2	s
rõngad	24391		s
volikogu	24400	B2	s
käeluu	24404		s
pulmapäev	24406		s
märgatavalt	24407	B1	adv
kuulutama	24424	A2	v
kiuste	24426	C1	adv,postp
räpaselt	24430		adv
nõrguke	24438		adj,s
sattuma	24451	B1	v
teesklus	24452		s
sümptom	24462	B2	s
äpardus	24467	C1	s
karantiin	24470		s
rikkaim	24471		adj
aegluubis	24473		adv
konditsioneer	24487	B2	s
kork	24491	B1	s
oks	24494	B1	s
naisuke	24495		s
väepealik	24500		s
hädine	24508		adj
pikisilmi	24512	C1	adv
augustus	24518		s
punti	24519		vrm
lobi	24523		s
kusik	24528		s
reageerima	24529	B1	v
ebareaalne	24530		adj
potentsiaalne	24534	B2	adj
vanilje	24541	B2	s
mehike	24547		s
carlisle	24557		prop
partnerlus	24558		s
eskort	24566		s
jooni	24567		s
mõrsja	24568		s
country	24577		s
religioosne	24580	B2	adj
naljaasi	24583		s
kuristiku	24585		prop
kaksikvend	24588		s
morfiin	24593		s
sisejuurdlus	24597		s
olümpia	24599	B2	s
prügikast	24604	B1	s
õnnestuma	24609	B1	v
katastroofiline	24618		adj
säästma	24619	B1	v
viiner	24623	A2	s
alluv	24626	B1	s
rakke	24636		adv
tunnike	24646		s
märge	24650	B2	s
hunnikusse	24659		vrm
kandmine	24665		s
viimseni	24672		adv
kooris	24673		vrm
söögiaeg	24674		s
pulka	24679		adv
neelama	24682	B1	v
laupäeviti	24688		adv
saatuslik	24689	B2	adj
zombie	24692		s
mateeria	24694		s
türannia	24696		s
kahvanägu	24702		s
peaosa	24709		s
song	24714		s
vastikult	24719		adv
skalpell	24733		s
gängster	24734		s
mage	24738	B2	adj
silmnähtavalt	24739		adv
näoilme	24741		s
asendamatu	24748	B2	adj
lasteaed	24750	A2	s
terrorism	24751	B2	s
sonar	24752		s
saavutama	24755	B1	v
puhastamine	24756		s
invasioon	24757		s
vastsündinud	24758		adj
sukelduma	24759	B2	v
tõesõna	24764		s,adv
töömees	24771		s
pommitaja	24772		s
taguots	24793		s
koole	24795		s
täpp	24803	B1	s
jaapanlane	24809		s
fuajee	24816	B2	s
enneolematu	24820	C1	adj
autoavarii	24827		s
karjane	24836		s
volitus	24837	B1	s
pihtas	24840		adv
hakkliha	24847	A2	s
lõppkokkuvõttes	24852		adv
tootja	24853	B1	s
vihmavari	24854	A2	s
eraviisiliselt	24865		adv
väljasurnud	24867		adj
ass	24876		s
väel	24880	B2	postp
alligaator	24887		s
võlukunst	24888		s
ministeerium	24890	A2	s
iidol	24893	B2	s
tegutsemine	24898		s
poseidon	24899		prop
õudukas	24901		s
viisakus	24902	B2	s
sooritama	24906	B1	v
piss	24907		s
uje	24913		adj
murdosa	24914		s
võluväel	24921		adv
ninasarvik	24922	B2	s
lõike	24924		
vimm	24926		s
font	24927		s
parandamine	24930		s
lutika	24931		prop
mc	24941		
lelu	24947		s
tyrone	24948		prop
professionaalselt	24956	B2	adv
rannik	24962	B2	s
mööduv	24963		adj
brigaad	24969		s
edastama	24972		v
maastur	24977	B2	s
bluff	24982		s
imehästi	24987		adv
lõpmatu	24992	C1	adj,adv
äpu	25000		s,adj
rippuma	25008	B1	v
jäik	25009	B2	adj
dünaamika	25024	B2	s
rahaline	25026	B1	adj
taastusravi	25027		s
kl	25028		
kaebama	25034	B1	v
allavoolu	25043		adv
melbourne	25046		prop
tasane	25049	B1	adj
miilits	25056		s
troon	25063	B2	s
aeglasem	25068		adj
söötis	25079		adj,adv
pääs	25083	B2	s
isend	25086		s
juhuu	25090		interj
isehakanud	25097		adj
õnnetusjuhtum	25099		s
sponsor	25106	B1	s
linnake	25113		s
mikker	25115		s
kõnnitee	25116	B1	s
oliiviõli	25118	B1	s
vastasseis	25124	B2	s
teadaolevalt	25128	B2	adv
hiljutine	25130	B1	adj
lahedaim	25134		adj
rumeenia	25135		prop
jestas	25139		interj
kõmu	25140	C1	s
vastuoluline	25141	B2	adj
viljatu	25143		adj
nauditav	25147		adj
kriitika	25150	B1	s
bosnia	25155		prop
hara	25160		prop
argentiina	25161		prop
märter	25168	C1	s
sohva	25178		s
sujuv	25182	B2	adj
morn	25183	C1	adj
rändama	25187	B2	v
külastaja	25188		s
vingu	25197		adv
väljaanne	25201	B1	s
viiking	25203	B2	s
iraak	25205		prop
ballett	25220	B1	s
seitsekümmend	25227	A1	num
pealiskaudne	25230	B2	adj
valulik	25232	B2	adj
kujutama	25242	B1	v
kõrts	25244	B2	s
karla	25247		prop
püssirohi	25249		s
võlglane	25250		s
veits	25252		adv
välgumihkel	25263		s
kiirgus	25264	B2	s
rent	25267	B1	s
pokker	25268		s
arusaamine	25269		s
vaesus	25276	B1	s
jalka	25288		s
antenn	25290	B1	s
egiptus	25294		prop
pihkur	25295		s
padre	25306		s
töökorda	25312		adv
föderaal	25315		
kokkupuude	25325	B2	s
kolli	25328		s
eelkäija	25339		s
tegev	25343		adj
põnevus	25350	B2	s
rebima	25353	B1	v
esindama	25354	B1	v
jõuetu	25355	B2	adj
raju	25357	C1	s,adj
ropult	25360		adv
teos	25366	B1	s
paljutõotav	25370		adj
litsents	25373	B2	s
popkorn	25379	A2	s
rikkalik	25381	B2	adj
cnn	25385		
lähenema	25399	B1	v
siinolek	25401		s
politseiauto	25406		s
kummardus	25410	B2	s
vangivalvur	25420		s
hauakamber	25421		s
nõdrameelne	25425		adj,s
gaia	25431		prop
väsima	25442	B1	v
kiht	25448	B2	s
surmanuhtlus	25452	B2	s
selgem	25454		adj
dakota	25470		prop
põlev	25476		adj
tüürimees	25477		s
divisjon	25481	B2	s
džinn	25486		s
algeline	25494		adj
ajukasvaja	25496		s
hallutsinatsioon	25500		s
miinimum	25501	B2	s
toimunu	25502	B2	s
argpükslik	25508		adj
röster	25517	B1	s
murdvaras	25519		s
kaasasündinud	25520		adj
imetajad	25522		s
ülevaataja	25527		s
süüdistatav	25530		s
sugupuu	25534	B2	s
mula	25553		s
sisse-välja	25555		adv
vaneminspektor	25558		s
hoolikamalt	25559		adv
timukas	25560		s
mõrvarühm	25566		s
tuttu	25572	C1	adv
springfield	25587		prop
zen	25590		s
muusikal	25592	B1	s
hülgama	25593	C1	v
loovutama	25594	B2	v
meenuma	25599	B2	v
kaks-kolm	25605		num
sotsiopaat	25617		s
afganistan	25636		prop
kasvatamine	25644		s
kalmistu	25659	A2	s
rokkima	25663		v
taguma	25666	B2	v
normi	25668		adv
mõõt	25670	B2	s
ark	25674		
intiimne	25677	B2	adj
virsik	25678	B1	s
määrama	25682	B1	v
kilomeeter	25696	A2	s
hommikueine	25700		s
alukad	25703		s
sound	25712		s
ülevaatus	25721	B1	s
valmisolek	25723	B2	s
teisipäeviti	25724		adv
dharma	25734		s
faks	25742		s
sitaauk	25748		s
vaatus	25751	B2	s
lapseke	25758		s
aadam	25761		s
simulatsioon	25768		s
laava	25771		s
funktsioon	25772	B1	s
pikne	25775		s
tülikas	25780	B2	adj
kuutõbine	25781		s,adj
helin	25782	B2	s
tõuk	25785		s
huvitavalt	25788		adv
buu	25789		interj
parandamatu	25791		adj
toanaaber	25792		s
rumm	25793	B2	s
kosmiline	25803	B2	adj
tuvike	25821		s
vikatimees	25831		s
salong	25838	B1	s
toppima	25840	B2	v
infoallikas	25848		s
volti	25855		adv
latiino	25860		s
püüdmine	25862		s
otsaette	25869		adv
kõrilõikaja	25870		s
majori	25872		prop
piiritu	25875	B2	adj
raam	25881	A2	s
universaalne	25888	B2	adj
buffalo	25893		prop
jüri	25894		s
online	25895		s
vormel	25903	B2	s
tantsupidu	25906	B1	s
cali	25907		prop
laskuma	25912	B2	v
unustamatu	25917	B2	adj
minnesota	25918		prop
poks	25926	B1	s
mõrvarelv	25941		s
hoolikas	25945	B2	adj
medaljon	25947		s
hoiduma	25949	B2	v
kutsung	25951		s
kuskohas	25953		adv
kuklas	25954		vrm
kausi	25968		prop
saatanlik	25970		adj
juveel	25973		s
uitama	25975		v
haledalt	25979		adv
tüng	25980		s
rahumeelselt	25983	B2	adv
nõusolek	25989	B1	s
tatt	25993	B2	s
nokk	26005	B2	s
kops	26009	B1	s
leinama	26012	B2	v
nimetu	26013		adj
massöör	26025	B1	s
kolp	26026		s
korruptsioon	26027	B1	s
kulu	26033	B1	s
liikumiskeeld	26039		s
mannetu	26040		adj
valusam	26043		adj
oivaliselt	26058		adv
prior	26060		s
võrukael	26065		s
puudutama	26076	B1	v
identne	26077	B2	adj
semester	26084	B2	s
sinikas	26086	B2	s,adj
katsuma	26092	B1	v
poolvend	26096		s
impulss	26101	B2	s
sättima	26104	B2	v
manchester	26106		prop
upsakas	26112	C1	adj
seletamatu	26113	B2	adj
kadedus	26116	B2	s
ecstasy	26123		s
juhmard	26127		s
rauad	26128		s
portfell	26131		s
maksumaksja	26143	B2	s
ühiskondlik	26149	B1	adj
teip	26156		s
senimaani	26159		adv
ülearu	26180	B2	adv
kelk	26181	B2	s
abs	26183		
valusalt	26187	B1	adv
suurejooneline	26188	B2	adj
kirikuõpetaja	26203		s
macho	26205		s
hautis	26207		s
õpetamine	26212		s
eravaldus	26223		s
siitsamast	26228		adv
ilmumine	26231		s
tutvus	26233	B1	s
poolearuline	26237		adj,s
stereo	26240		s
justnagu	26247	B2	adv
keerutama	26248	B2	v
hõbeda	26250		prop
rivaal	26261	B2	s
ähvardama	26262	B1	v
fe	26269		
surematus	26276		s
paljastama	26277	B2	v
tjah	26291		interj
tõmmu	26292	B2	adj
irv	26297		s
süüfilis	26304		s
karneval	26305	B2	s
vabrik	26307	B1	s
sohver	26308		s
sohilaps	26313		s
meelitav	26314		adj
tõelisus	26320		s
kutsumus	26322	C1	s
lagunema	26323	B1	v
ekskursioon	26325	A2	s
platvorm	26327	B2	s
orlando	26328		prop
kalliskivi	26330	B1	s
pagar	26333	B1	s
ebaõnnestumine	26342		s
näost-näkku	26344		
infrapuna	26348		
karaoke	26349		s
yakuza	26352		s
raasugi	26355		adv
laim	26359	B2	s
tõsisemalt	26360		adv
optimist	26370		s
tilga	26384		prop
mõeldamatu	26393	B2	adj
majaka	26397		prop
juustuburger	26398		s
register	26405	B2	s
terror	26408	B2	s
enesehävitus	26419		s
gäng	26422		s
sibul	26425	A1	s
kongo	26428		s
plaaster	26429	B2	s
hävitav	26438		adj
apokalüpsis	26441		s
läbipaistev	26442	B1	adj
suunduma	26453	B2	v
algupärane	26455	B2	adj
orgia	26456		s
imelikum	26459		adj
beeta	26463		s
seriaal	26468	B2	s
raputama	26471	B1	v
kuulekas	26477	B2	adj
pervo	26481		s,adj
oletama	26484	B2	v
temp	26487	C1	s
majapidaja	26491		s
skeptiline	26493	B2	adj
muretu	26499	B2	adj
rajoon	26502	B1	s
postkast	26503	A2	s
esmapilgul	26504		adv
jamaica	26518		prop
akt	26529	B2	s
pakis	26537		s
vapram	26542		adj
valjuhääldi	26545		s
tapatalgud	26548		
tähtkuju	26551	B1	s
seisukord	26552	B2	s
kuritegelik	26554	B2	adj
tõttöelda	26555		adv
vastuhakk	26558		s
kaasavara	26561		s
haisukott	26568		s
siiakanti	26569		adv
kaevur	26571	B2	s
möll	26589	B2	s
kooliõpetaja	26598		s
abinõu	26599	B1	s
haiguslugu	26610		s
tõmbuma	26615	B2	v
kude	26619		s
sissejuhatus	26621	B2	s
trellid	26627		s
isikupära	26629	B2	s
krampi	26630		adv
eluviis	26632	B1	s
laboratoorium	26633	B2	s
yin	26636		s
ametikoht	26637	B1	s
hingeline	26639	B2	s,adj
fantastiliselt	26643		adv
serv	26652	B2	s
purskkaev	26654	B1	s
ruut	26658	B1	s
lülitus	26659		s
prof	26664		
ait	26685	B2	s
läbipääs	26686		s
kahjustus	26688	B2	s
vaheldus	26689	B2	s
kummuli	26693		adv
iganenud	26697		adj
varjatult	26698		adv
andestus	26708	B2	s
antiik	26716		s
br	26721		
lsd	26726		
kõrvalmõju	26736	B2	s
pääste	26739		s
karakter	26740	B2	s
kohtupäev	26741		s
debatt	26744	B2	s
rula	26750	B2	s
koma	26760	B1	s
jätis	26763		s
emas	26767		
sihilikult	26770		adv
psst	26772		interj
valama	26777	A2	v
insult	26783	B2	s
sinnamaani	26789		adv
krediit	26795	B2	s
ägedalt	26796		adv
mõjuv	26803	B2	adj
hamster	26805	B1	s
selgemalt	26820		adv
vooru	26823		prop
elton	26829		prop
ettevaatus	26831	B1	s
cappuccino	26835		s
populaarsem	26836		adj
kuukivi	26842		s
eksklusiivne	26844	B2	adj
lihtsaim	26856		adj
hingesugulane	26862		s
vanake	26872		s
levitama	26874	B1	v,s
rohke	26880	B2	adj
kauplema	26884	B1	v
tugevamalt	26890		adv
tuksis	26891		adv
rahuldav	26892	B2	adj,s
jubedam	26895		adj
torge	26898	B2	s
rangluu	26905		s
ilmaaegu	26907		adv
debiilik	26910		s
lohku	26911		adv
pildistama	26914	B1	v
pigis	26922		adv
ühtmoodi	26923	B2	adj,adv
tervik	26926	B2	s
tapamaja	26928		s
varjunimi	26930	B2	s
lavastus	26934	B1	s
meeltmööda	26941	B2	adv
paprika	26942	B1	s
olevik	26943	B2	s
eemaletõukav	26945		adj
plankton	26947		s
poolakas	26948		s
saatejuht	26949	B2	s
aur	26950	B2	s
aspiriin	26951		s
föderatsioon	26953	B2	s
pettusega	26956		
hetkeline	26957		adj
purustama	26973	B2	v
maitsma	26975	B1	v
pesumaja	26991		s
stressirohke	26995		adj
öökima	27008		v
kohanema	27009	B1	v
lähedasem	27013		adj
rästik	27014	B2	s
kaameramees	27027		s
terminaator	27032		s
kaubandus	27036	B2	s
padrun	27041	B2	s
sealtpoolt	27049	B2	adv,prep
luureandmed	27050		s
turvameeskond	27053		s
naljatilk	27058		s
sissekanne	27063	C1	s
vaas	27066	B2	s
oie	27077		s
diabeetik	27081		s
lennufirma	27084		s
nohu	27086	B1	s
varasem	27090		adj
kahekorra	27095		adv
leebelt	27099		adv
fenomen	27108	B2	s
kiireloomuline	27114	B2	adj
imetlema	27124	B1	v
vana-aasta	27129		s
paksult	27130		adv
häbilugu	27132		s
mehhaanik	27134		s
missouri	27135		prop
jaatav	27136	B2	adj
iirimaa	27140		prop
kail	27146		s
roomajad	27152		s
vinna	27154		adv
eksemplar	27157	B2	s
harki	27158		adv
ustavus	27165		s
tavai	27166		interj
taastamine	27167		s
tungima	27170	B1	v
veerema	27174	B2	v
palat	27183	B2	s
siiber	27187		s
bai	27190		s
pohmell	27191	B2	s
pühamu	27195	C1	s
roomaja	27206		s,adj
platsis	27211		adv
muuhulgas	27214	B2	adv
sutenöör	27222		s
korraldaja	27225	B1	s
vatikan	27226		prop
tühjalt	27235	B2	adv
sõnapidaja	27236		adj,s
tähistamine	27239	B1	s
vereproov	27241		s
riiul	27242	A2	s
üleliigne	27243	B2	adj
umbrohi	27248	B2	s
vanaeit	27252		s
kõrvits	27256	B1	s
pistrik	27257		s
issa	27261		s
tihtipeale	27262	B2	adv
sõjamees	27263		s
tomat	27266	A1	s
vangistus	27268	B2	s
albaania	27269		adjg
sipelgas	27271	B1	s
noku	27278		s
jokker	27289		s
silmamuna	27290		s
nõks	27299	B2	s
kaubalaev	27308		s
pinnapealne	27312		adj
ekspeditsioon	27313	B2	s
lõbustuspark	27320		s
mõjutama	27322	A2	v
varje	27323		s
pakke	27327		
vägivaldselt	27333		adv
läbimõeldud	27343		adj
nööp	27346	B2	s
kagu	27348	B1	s
üheksane	27359		adj
meistrivõistlused	27366	B2	s
pangakonto	27368	B1	s
varganägu	27373		s
kullakene	27386		s
potentsiaal	27396	B2	s
alateadvus	27408	B2	s
siitpoolt	27409	B2	adv,prep
roo	27414		s
sealjuures	27420	B2	adv
smoking	27423		s
misjaoks	27425	B2	adv
keemik	27427		s
norima	27428	B2	v
langust	27432		s
eelnev	27433	B2	adj
sulama	27434	B1	v
häh	27435		interj
kainelt	27436		adv
irve	27443		s
romantilisem	27444		adj
naasmine	27445		s
annetus	27455	B2	s
omlett	27456	A2	s
tsunami	27457		s
kehvem	27467		adj
tünn	27472	B2	s
panter	27473		s
süütaja	27480		s
elektrikatkestus	27494		s
terminal	27497	B1	s
sae	27499		prop
abiraha	27501		s
pluto	27505		prop
põrutus	27512		s
tassima	27514	B2	v
kuulsaim	27516		adj
ringkäik	27519		s
tukkuma	27523	C1	v
evakuatsioon	27524		s
sõjakangelane	27532		s
rahulolev	27537	B2	adj
eetika	27539		s
sedaviisi	27542		adv
truudusetu	27544		adj
segasem	27546		adj
süüalune	27553		s
hoovus	27554		s
patsi	27557		vrm
metsloom	27564	B1	s
orgasm	27576	B2	s
valmistamine	27578	B1	s
edukam	27582		adj
jessake	27587		interj
möönma	27589	B2	v
kassipoeg	27601	A2	s
külastusaeg	27602		s
huligaan	27605	B2	s
tau	27606		s
vaiksem	27610		adj
onn	27611		s
triumf	27613	B2	s
viide	27614	B2	s
tanke	27615		
palgapäev	27621	B2	s
traagiliselt	27627		adv
rahapesu	27628	B2	s
põletamine	27642		s
ristiema	27648		s
koostama	27649	B1	v
dušš	27656	A1	s
lora	27659		s
käepide	27660	B1	s
haarang	27672		s
lasanje	27678		s
sügelema	27679	B1	v
võidujooks	27680	B2	s
lõpupidu	27681		s
kultus	27682	B2	s
memphis	27685		prop
peasekretär	27691		s
burgundia	27701		prop
isake	27702		s
kõrvarõngas	27706	B2	s
kütte	27708		adv
edutult	27709		adv
kehaosa	27710	A2	s
sõidus	27711		vrm
direktriss	27714		s
väljasõit	27715		s
ebainimlik	27716		adj
tsiviil	27719		s
toppama	27720		v
kommentaar	27729	A2	s
puus	27731	B1	s
heasüdamlik	27734	B2	adj
kõhutunne	27739		s
silmside	27741		s
rad	27746		
asendus	27747		s
juhend	27756	B1	s
ram	27762		
haisema	27763	B2	v
lemmikkoht	27764		s
matš	27766	B2	s
haigushoog	27769		s
suhteline	27773	B1	adj
sarm	27778		s
arhiiv	27779	B1	s
lepe	27781	B2	s
karje	27782		s
vastuteene	27785		s
rõngas	27796	B2	s
edev	27809	C1	adj
külmalt	27810		adv
väljavaade	27820	B2	s
abielupaar	27823	B1	s
robi	27826		s
kogenematu	27827	B2	adj
vahetpidamata	27829		adv
vahistamine	27830		s
aktiivselt	27837	B1	adv
viimine	27848		s
kümmekond	27853	B1	num,s
eelmäng	27854		s
nõudlus	27855	B2	s
habemeajaja	27862		s
majapidajanna	27871		s
üheksakümmend	27874	A1	num
sos	27875		
lokkis	27880	B1	adj,adv
tormakas	27881		adj
tööaeg	27883	B1	s
euro	27885	A1	s
juhtnöör	27886	B2	s
intensiivne	27888	B2	adj
kärakas	27895		s
migreen	27897		s
tahke	27899	B1	adj
mõjul	27901	B2	
maa-ala	27905	A2	s
pepsi	27906		s
mahe	27907		adj
vahetusraha	27912		s
puusepp	27916		s
koodnimi	27928		s
providence	27934		prop
mehaaniline	27941	B2	adj
roomama	27947	B1	v
gallia	27950		prop
kamm	27961	A2	s
kalle	27963	B2	s
talupoeg	27974		s
lambist	27976		adv
määramata	27979		adj
jäärapäine	27980	C1	adj
tikk-takk	27982		interj
lumivalguke	27984		prop
kiitma	27986	A2	v
lõust	28010		s
juuda	28012		prop
suhtlus	28022	B1	s
aatom	28029	B2	s
pille	28030		prop
enneaegne	28033	B2	adj,s
klõps	28036		s
sidur	28037	B2	s
isetehtud	28039		adj
kolmik	28043	B2	s
jõuliselt	28044	B2	adv
koomiks	28047	B2	s
kummalisem	28050		adj
teleskoop	28052	B2	s
kujuteldav	28066		adj
süütamine	28067		s
tiigi	28069		prop
avasüli	28070		adv
käbarad	28090		s
teenindaja	28091		s
blokk	28102	B2	s
jultumus	28114		s
seisuga	28116		vrm
tex	28122		
sõidutama	28123	B1	v
ebamäärane	28124	B2	adj
nilbe	28133		adj
manööver	28150	B2	s
kasvatus	28152	B1	s
kärnkonn	28153	B2	s
südametemurdja	28156		s
rõõmustama	28165	A2	v
vasakpoolne	28166	B2	adj,s
lühinägelik	28167	B2	adj
pumppüss	28171		s
paneel	28173	B2	s
elevile	28181	C1	adv
retooriline	28194		adj
omavaheline	28195	B1	adj
päevakava	28200		s
albuquerque	28205		prop
inimlikkus	28207	B2	s
reetma	28212	B2	v
abielumees	28218		s
roma	28222		s
rokkstaar	28223		s
hopp	28235		interj
ööbima	28245	B1	v
rai	28252		s
mühakas	28258		adj,s
pööning	28261	B1	s
chihuahua	28264		s
duell	28266	B2	s
rahvahulk	28281		s
sääsk	28288	B1	s
pre	28293		
dong	28294		s
esmamulje	28298		s
kuivama	28299	B1	v
passiivne	28300	B2	adj
loendus	28301		s
sms	28303	A1	
autopiloot	28309		s
punaarmee	28315		prop
ajudega	28318		adj
tikk	28319	B1	s
lise	28320		s
unistama	28322	B1	v
võlusõna	28323		s
lennukikandja	28328		s
käivitama	28333	B2	v
kaamel	28340	B2	s
suvila	28343	B1	s
eluliselt	28346	B2	adv
burrito	28353		s
milano	28372		prop
mürgel	28378		s
